13.573843	0.662405	0.662405
5.5086823	0.758792	0.758792
3.8278878	0.774226	0.774226
2.886123	0.809664	0.809664
2.3004324	0.825839	0.825839
1.8960401	0.837073	0.837073
1.5836258	0.844825	0.844825
1.3587174	0.844301	0.844825
1.1474899	0.83973	0.83973
1.0090017	0.850922	0.850922
0.89035815	0.849461	0.850922
0.79186857	0.849578	0.850922
0.70303845	0.85071	0.850922
0.6409309	0.861812	0.861812
0.573511	0.849682	0.861812
0.52355254	0.858406	0.858406
0.45939565	0.856015	0.858406
0.42229545	0.847407	0.858406
0.416363	0.859932	0.858406
0.36048627	0.858152	0.858152
0.33866683	0.855748	0.858152
0.31139353	0.860152	0.858152
0.3041394	0.864665	0.864665
0.27575982	0.856815	0.864665
0.2558264	0.868098	0.864665
0.23242228	0.863455	0.864665
0.23830746	0.859616	0.864665
0.22766711	0.862421	0.864665
0.19953097	0.855452	0.864665
0.22156219	0.867081	0.864665
